radius_nm,amplitude,phase_rad
110.12,0.825211,0.871532
110.19,0.824503,0.88159
110.26,0.823796,0.891633
110.33,0.823089,0.901681
110.4,0.822379,0.911762
110.47,0.821671,0.921828
110.541,0.820963,0.931886
110.611,0.820257,0.941911
110.681,0.819555,0.951909
110.751,0.818855,0.961874
110.821,0.818157,0.971827
110.891,0.817459,0.981791
110.961,0.816766,0.991696
111.031,0.816075,1.00159
111.101,0.815386,1.01148
111.171,0.8147,1.02136
111.241,0.814017,1.03121
111.311,0.813339,1.04103
111.381,0.812663,1.05083
111.451,0.811993,1.06059
111.522,0.811324,1.07037
111.592,0.810661,1.0801
111.662,0.810001,1.08983
111.732,0.809345,1.09954
111.802,0.808697,1.10918
111.872,0.808051,1.11882
111.942,0.80741,1.12847
112.012,0.806773,1.13809
112.082,0.806141,1.14769
112.152,0.805516,1.15724
112.222,0.804897,1.16677
112.292,0.804285,1.17626
112.362,0.803678,1.18572
112.432,0.803078,1.19516
112.503,0.802482,1.20459
112.573,0.801886,1.21411
112.643,0.801284,1.22382
112.713,0.800712,1.2331
112.783,0.800133,1.24259
112.853,0.799555,1.25216
112.923,0.798984,1.2617
112.993,0.798421,1.27121
113.063,0.797866,1.28069
113.133,0.797314,1.2902
113.203,0.796771,1.29968
113.273,0.796236,1.30913
113.343,0.79571,1.31853
113.413,0.795192,1.32791
113.483,0.794683,1.33725
113.554,0.794179,1.34661
113.624,0.793684,1.35595
113.694,0.793197,1.36527
113.764,0.79272,1.37454
113.834,0.792252,1.38376
113.904,0.791793,1.39296
